날짜,홈,어웨이,예측,확률,배당,결과,켈리 비율,진입,자본금 변화,날짜별 초기 잔액,잔액
10/27,Washington Wizards,Cleveland Cavaliers,Cleveland Cavaliers,0.726,1.22,승,0.0,0.0,0.0,744.8996073,744.8996073
10/27,Charlotte Hornets,Miami Heat,Miami Heat,0.715,1.57,승,0.1,74.48996073,42.45927761,744.8996073,787.3588849
10/27,Detroit Pistons,Boston Celtics,Boston Celtics,0.76,1.1,승,0.0,0.0,0.0,744.8996073,787.3588849
10/27,Chicago Bulls,Oklahoma City Thunder,Oklahoma City Thunder,0.676,1.22,승,0.0,0.0,0.0,744.8996073,787.3588849
10/27,Memphis Grizzlies,Orlando Magic,Orlando Magic,0.715,1.81,패,0.1,74.48996073,-74.48996073,744.8996073,712.8689242
10/27,Minnesota Timberwolves,Toronto Raptors,Minnesota Timberwolves,0.826,1.11,승,0.0,0.0,0.0,744.8996073,712.8689242
10/27,San Antonio Spurs,Houston Rockets,Houston Rockets,0.643,1.77,패,0.1,74.48996073,-74.48996073,744.8996073,638.3789634
10/27,Phoenix Suns,Dallas Mavericks,Phoenix Suns,0.59,1.82,승,0.09,67.04096465,54.97359102,744.8996073,693.3525544
10/27,Los Angeles Lakers,Sacramento Kings,Los Angeles Lakers,0.552,1.68,승,0.0,0.0,0.0,744.8996073,693.3525544
10/28,Indiana Pacers,Philadelphia 76ers,Indiana Pacers,0.546,1.31,패,0.0,0.0,0.0,693.3525544,693.3525544
10/28,Portland Trail Blazers,New Orleans Pelicans,New Orleans Pelicans,0.782,1.41,패,0.1,69.33525544,-69.33525544,693.3525544,624.017299
10/28,Brooklyn Nets,Milwaukee Bucks,Milwaukee Bucks,0.676,1.23,패,0.0,0.0,0.0,693.3525544,624.017299
10/28,Oklahoma City Thunder,Atlanta Hawks,Oklahoma City Thunder,0.76,1.22,승,0.0,0.0,0.0,693.3525544,624.017299
10/28,Golden State Warriors,LA Clippers,Golden State Warriors,0.542,1.22,패,0.0,0.0,0.0,693.3525544,624.017299
10/29,Orlando Magic,Indiana Pacers,Indiana Pacers,0.502,3.15,패,0.1,62.4017299,-62.4017299,624.017299,561.6155691
10/29,Miami Heat,Detroit Pistons,Miami Heat,0.795,1.3,승,0.1,62.4017299,18.72051897,624.017299,580.3360881
10/29,Boston Celtics,Milwaukee Bucks,Boston Celtics,0.604,1.24,승,0.0,0.0,0.0,624.017299,580.3360881
10/29,Toronto Raptors,Denver Nuggets,Denver Nuggets,0.727,1.28,승,0.0,0.0,0.0,624.017299,580.3360881
10/29,New York Knicks,Cleveland Cavaliers,New York Knicks,0.624,1.63,패,0.02717460317,16.95742247,-16.95742247,624.017299,563.3786656
10/29,Atlanta Hawks,Washington Wizards,Atlanta Hawks,0.667,1.33,패,0.0,0.0,0.0,624.017299,563.3786656
10/29,Memphis Grizzlies,Chicago Bulls,Chicago Bulls,0.671,3.25,승,0.1,62.4017299,140.4038923,624.017299,703.7825579
10/29,San Antonio Spurs,Houston Rockets,Houston Rockets,0.643,1.68,승,0.1,62.4017299,42.43317633,624.017299,746.2157342
10/29,Dallas Mavericks,Utah Jazz,Dallas Mavericks,0.694,1.18,승,0.0,0.0,0.0,624.017299,746.2157342
10/29,Phoenix Suns,Los Angeles Lakers,Phoenix Suns,0.627,1.68,승,0.07847058824,48.96700452,33.29756307,624.017299,779.5132973
10/29,Sacramento Kings,Portland Trail Blazers,Sacramento Kings,0.777,1.13,승,0.0,0.0,0.0,624.017299,779.5132973
10/30,Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,0.529,1.57,패,0.0,0.0,0.0,779.5132973,779.5132973
10/30,Brooklyn Nets,Denver Nuggets,Brooklyn Nets,0.67,2.88,패,0.1,77.95132973,-77.95132973,779.5132973,701.5619676
10/30,Utah Jazz,Sacramento Kings,Sacramento Kings,0.7,1.39,승,0.0,0.0,0.0,779.5132973,701.5619676
